                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4072,                 3.0177,                 1.8375,                0.00358,                      1,                0.64878,                0.23996,                 1.3965,                 3.7109,                 2.0729,                0.00022,                0.00022,                0.00022
                      2,                 1.3265,                  2.522,                 1.7178,                0.00333,                0.93103,                0.35688,                0.11671,                 1.6577,                 3.7394,                 2.2635,             0.00041446,             0.00041446,             0.00041446
                      3,                  1.224,                 2.2251,                 1.6603,                      1,                0.12009,                0.87923,                0.49252,                 1.3048,                 3.1425,                 1.7731,              0.0005614,              0.0005614,              0.0005614
                      4,                 1.2994,                 2.1043,                 1.6759,                0.66824,                0.20853,                0.57638,                0.33607,                 1.3384,                 3.0929,                  1.841,             0.00066082,             0.00066082,             0.00066082
                      5,                 1.2321,                 2.0726,                 1.6615,                0.83144,                0.72414,                0.82577,                0.42124,                 1.4911,                 2.4556,                 2.0018,             0.00071272,             0.00071272,             0.00071272
                      6,                 1.2096,                  1.866,                 1.6147,                0.83411,                 0.7931,                 0.8781,                0.43537,                 1.4414,                 2.4283,                 1.8342,              0.0007171,              0.0007171,              0.0007171
                      7,                 1.2087,                 1.7812,                 1.5698,                0.61628,                0.72414,                 0.6731,                0.33913,                 1.3621,                 2.6804,                 1.8089,             0.00067396,             0.00067396,             0.00067396
                      8,                 1.1624,                 1.8231,                 1.5413,                0.66346,                0.68004,                0.72245,                0.42829,                 1.3311,                 2.3487,                 1.7063,              0.0005833,              0.0005833,              0.0005833
                      9,                 1.1225,                  1.613,                 1.5069,                0.82903,                0.65517,                0.81017,                0.45483,                 1.3811,                  2.133,                 1.7568,               0.000416,               0.000416,               0.000416
                     10,                 1.0503,                 1.6103,                 1.4026,                0.77987,                0.75862,                0.83675,                 0.5128,                 1.3262,                 2.0639,                 1.7152,               0.000416,               0.000416,               0.000416
